tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,root_tweet_id,root_author_id,root_created_at,conversation_group_id,rule_number
1088759,376826,True,Mon Oct 23 18:48:46 +0000 2017,@117086 com problema nos pagamentos?,1088757,,1088759,376826,Mon Oct 23 18:48:46 +0000 2017,CONV_1088759,2
1088757,AmazonHelp,False,Mon Oct 23 19:04:27 +0000 2017,"@376826 Olá, poderia nos explicar com mais detalhes o que aconteceu sem publicar detalhes da sua conta? ^DA",1088758,1088759,1088759,376826,Mon Oct 23 18:48:46 +0000 2017,CONV_1088759,2
1088758,376826,True,Mon Oct 23 19:05:24 +0000 2017,"@AmazonHelp NÚMERO DO PEDIDO
701-5675530-9892212

Pedido debitado no meu cartão mas encontra-se como pagamento reprovado no site,",1088760,1088757,1088759,376826,Mon Oct 23 18:48:46 +0000 2017,CONV_1088759,2
1088760,AmazonHelp,False,Mon Oct 23 19:17:10 +0000 2017,"@376826 Por motivos de segurança, recomendo apagar o tuit pois contém informações da sua conta. Lembre que esta é uma rede pública (1/2)",1088761,1088758,1088759,376826,Mon Oct 23 18:48:46 +0000 2017,CONV_1088759,2
1088761,376826,True,Mon Oct 23 19:17:51 +0000 2017,@AmazonHelp já foi deletado,,1088760,1088759,376826,Mon Oct 23 18:48:46 +0000 2017,CONV_1088759,2
1099795,379522,True,Sun Oct 15 06:30:01 +0000 2017,"Amazon India Best quality product always and exceptional service.😍
#faithrestored",1099793,,1099795,379522,Sun Oct 15 06:30:01 +0000 2017,CONV_1099795,2
1099793,AmazonHelp,False,Sun Oct 15 06:51:00 +0000 2017,@379522 Thank you indeed for keeping us inspired to do such great work. Have a super Sunday ;) ^RS,1099794,1099795,1099795,379522,Sun Oct 15 06:30:01 +0000 2017,CONV_1099795,2
1099794,379522,True,Sun Oct 15 07:02:05 +0000 2017,@AmazonHelp Keep the prompt service ! Enlightened :),,1099793,1099795,379522,Sun Oct 15 06:30:01 +0000 2017,CONV_1099795,2
1408368,447342,True,Wed Nov 01 22:13:07 +0000 2017,Hey .@115821 .@AmazonHelp Why are you charging Mississippi tax? There's no state law for online tax purchases. You pocketing my tax money??,1408366,,1408368,447342,Wed Nov 01 22:13:07 +0000 2017,CONV_1408368,2
1408366,AmazonHelp,False,Wed Nov 01 22:31:24 +0000 2017,@447342 Items sold on Amazon and shipped to certain states may be subject to tax. More info here: https://t.co/ZUgt6P960a ^TN,1408367,1408368,1408368,447342,Wed Nov 01 22:13:07 +0000 2017,CONV_1408368,2
1408367,447342,True,Wed Nov 01 22:36:19 +0000 2017,"@AmazonHelp Like I said, no state law in Mississippi requires internet tax on purchases. You're scamming MS residents out of money.",,1408366,1408368,447342,Wed Nov 01 22:13:07 +0000 2017,CONV_1408368,2
1546028,478777,True,Sat Nov 04 06:25:33 +0000 2017,So upset with @115821 right now!😪,1546026,,1546028,478777,Sat Nov 04 06:25:33 +0000 2017,CONV_1546028,2
1546026,AmazonHelp,False,Sat Nov 04 06:34:52 +0000 2017,"@478777 Hey, what happened? ^AT",1546027,1546028,1546028,478777,Sat Nov 04 06:25:33 +0000 2017,CONV_1546028,2
1546027,478777,True,Sat Nov 04 06:54:16 +0000 2017,@AmazonHelp Kindly check your inbox. Direct message sent.,,1546026,1546028,478777,Sat Nov 04 06:25:33 +0000 2017,CONV_1546028,2
224625,169668,True,Thu Oct 05 05:15:18 +0000 2017,"Gotta love going from 1 day shipping to ""yeah, hopefully by the weekend"" @115821",224623,,224625,169668,Thu Oct 05 05:15:18 +0000 2017,CONV_224625,2
224623,AmazonHelp,False,Thu Oct 05 05:31:43 +0000 2017,"@169668 I'm sorry for the wait! Have we missed the e-mailed delivery date? If so, does the carrier-specific tracking info explain why?^MV",224624,224625,224625,169668,Thu Oct 05 05:15:18 +0000 2017,CONV_224625,2
224624,169668,True,Thu Oct 05 05:35:30 +0000 2017,@AmazonHelp Delivery was supposed to be today by 9PT. CARRIER tracking just says it's left the seller and in transit to CARRIER as of 527 this morning,,224623,224625,169668,Thu Oct 05 05:15:18 +0000 2017,CONV_224625,2
2293945,666126,True,Sat Nov 11 11:10:58 +0000 2017,"ordered a book for uni and its going to take 2 months to deliver, come on @115830 sort it out",2293944,,2293945,666126,Sat Nov 11 11:10:58 +0000 2017,CONV_2293945,2
2293944,AmazonHelp,False,Sat Nov 11 11:28:27 +0000 2017,"@666126 Hi, what is the availability of the item on the website? ^AT",2293943,2293945,2293945,666126,Sat Nov 11 11:10:58 +0000 2017,CONV_2293945,2
2293943,666126,True,Sat Nov 11 11:38:30 +0000 2017,@AmazonHelp it was 3 weeks a month ago and now an additional month has been added,2293941,2293944,2293945,666126,Sat Nov 11 11:10:58 +0000 2017,CONV_2293945,2
2293941,AmazonHelp,False,Sat Nov 11 11:47:28 +0000 2017,"@666126 Apologies for the wait, we always aim to deliver as quickly as possible but it seems like there may be an issue sourcing the stock in this case. ^JJ",2293942,2293943,2293945,666126,Sat Nov 11 11:10:58 +0000 2017,CONV_2293945,2
2293942,666127,True,Sat Nov 11 23:06:52 +0000 2017,@AmazonHelp @666126 Fuck off JJ,,2293941,2293945,666126,Sat Nov 11 11:10:58 +0000 2017,CONV_2293945,2
2571777,390258,True,Mon Oct 30 17:47:16 +0000 2017,@115821 @AmazonHelp 2 day shipping huh? https://t.co/S8Iz9ZiRCh,2571775,,2571777,390258,Mon Oct 30 17:47:16 +0000 2017,CONV_2571777,2
2571775,AmazonHelp,False,Mon Oct 30 17:52:03 +0000 2017,"@390258 Two-day Shipping refers to transit time, in business days. You can learn more shipping benefits here: https://t.co/nlgZROmNoL ^LB",2571776,2571777,2571777,390258,Mon Oct 30 17:47:16 +0000 2017,CONV_2571777,2
2571776,390258,True,Mon Oct 30 17:52:52 +0000 2017,@AmazonHelp So why am i getting it on the 31st then.,,2571775,2571777,390258,Mon Oct 30 17:47:16 +0000 2017,CONV_2571777,2
2724538,764179,True,Mon Nov 20 11:40:01 +0000 2017,Are you kidding @115821 ?????  3-5 WEEKS delivery estimate?? Is it being hand delivered by someone hitchhiking across country? How do you even allow a seller to have that rediculous transit time length?? https://t.co/FqMf9EtQxU,2724536,,2724538,764179,Mon Nov 20 11:40:01 +0000 2017,CONV_2724538,2
2724536,AmazonHelp,False,Mon Nov 20 12:15:02 +0000 2017,"@764179 Hello! Is this delivery time frame different from your order confirmation e-mail? Some sellers ship internationally, which means your order may take 2-3 weeks to arrive after shipping. ^JY",2724537,2724538,2724538,764179,Mon Nov 20 11:40:01 +0000 2017,CONV_2724538,2
2724537,764179,True,Mon Nov 20 15:19:01 +0000 2017,@AmazonHelp I just found out that the seller is located in Cyprus. I think that should be disclosed on the item page.  I would NEVER have purchased the item if I knew that ahead of time. Ebay always shows the seller location. I think it is very important to know.,,2724536,2724538,764179,Mon Nov 20 11:40:01 +0000 2017,CONV_2724538,2
2741876,768056,True,Mon Nov 20 17:46:54 +0000 2017,Hey @115821 your delivery service is awful! Packages thrown out window onto lawns. Stick with the @118706 #notgood https://t.co/Ic8TtkpFcV,2741874,,2741876,768056,Mon Nov 20 17:46:54 +0000 2017,CONV_2741876,2
2741874,AmazonHelp,False,Mon Nov 20 18:01:25 +0000 2017,@768056 I'm so sorry your order was delivered this way! We'd like to investigate further. Please reach out to us directly here: https://t.co/jC0dd4bgYk. ^JO,2741875,2741876,2741876,768056,Mon Nov 20 17:46:54 +0000 2017,CONV_2741876,2
2741875,768056,True,Mon Nov 20 18:02:33 +0000 2017,"@AmazonHelp Not mine, just poor service",,2741874,2741876,768056,Mon Nov 20 17:46:54 +0000 2017,CONV_2741876,2
2811727,784054,True,Wed Nov 22 08:20:37 +0000 2017,Update #amazon hung up on me. Makes sense @115821,2811725,,2811727,784054,Wed Nov 22 08:20:37 +0000 2017,CONV_2811727,2
2811725,AmazonHelp,False,Wed Nov 22 08:24:00 +0000 2017,@784054 I'm sorry to hear that Will. Were you able to re-establish contact? ^DC,2811726,2811727,2811727,784054,Wed Nov 22 08:20:37 +0000 2017,CONV_2811727,2
2811726,784054,True,Wed Nov 22 08:24:52 +0000 2017,"@AmazonHelp Yeah I️ was, after 40 minutes were wasted",2811728,2811725,2811727,784054,Wed Nov 22 08:20:37 +0000 2017,CONV_2811727,2
2811728,AmazonHelp,False,Wed Nov 22 08:33:00 +0000 2017,"@784054 Hi Will, sorry to hear that you had such a negative experience today. Did you manage to get your membership set up after reconnecting or are you still receiving an error? ^TI",2811729,2811726,2811727,784054,Wed Nov 22 08:20:37 +0000 2017,CONV_2811727,2
2811729,784054,True,Wed Nov 22 08:36:26 +0000 2017,@AmazonHelp Yeah I️ did. Impressed that your fake bots were good enough to fulfill your promises,,2811728,2811727,784054,Wed Nov 22 08:20:37 +0000 2017,CONV_2811727,2
2813568,229030,True,Mon Nov 27 01:39:28 +0000 2017,"@AmazonHelp 
@115821 
TAKING CHARGE AND POSTING
#WARNING ON
#FAKE EMAILS
@156163 
DOES NOT DO OR SAY ANYTHING
#BEWARE
#CVS 
#FRAUDULENT EMAILS
#AMAZON
#AmazonHelp
Good show!!!!!
#BRILLIANT https://t.co/p6GhLt982a","2813566,2813569",,2813568,229030,Mon Nov 27 01:39:28 +0000 2017,CONV_2813568,2
2813566,AmazonHelp,False,Mon Nov 27 01:48:00 +0000 2017,@229030 Thank you for bringing this to our attention! You can learn how to determine if this e-mail is from Amazon here: https://t.co/Zq9inwEyM3 ^GM,2813567,2813568,2813568,229030,Mon Nov 27 01:39:28 +0000 2017,CONV_2813568,2
2813567,229030,True,Mon Nov 27 03:49:38 +0000 2017,"@AmazonHelp #Amazon 
#AmazonHelp 
Oh...I surely know what to do...
Been bringing this and
FORWARDING
#FAKE EMAILS to
__email__
FOR
#MONTHS https://t.co/6yeECnwLXv",,2813566,2813568,229030,Mon Nov 27 01:39:28 +0000 2017,CONV_2813568,2
2831595,788400,True,Mon Nov 27 13:27:06 +0000 2017,@115830 tell me please why I wont be getting my copy of #DarkerAsToldByChristian until Wednesday when Ive has it preordered for quite some time now. Despite notification its been dispatched. #UnhappyPrimeCustomerAtMoment https://t.co/syUWuRY0pK,2831593,,2831595,788400,Mon Nov 27 13:27:06 +0000 2017,CONV_2831595,2
2831593,AmazonHelp,False,Mon Nov 27 13:38:00 +0000 2017,@788400 Thanks for reaching out today! As for your order do you recall if this book was release day delivery eligible upon ordering? Full details on this option can be found here: https://t.co/10o7Nhw5BT ^TM,2831594,2831595,2831595,788400,Mon Nov 27 13:27:06 +0000 2017,CONV_2831595,2
2831594,788400,True,Mon Nov 27 13:45:14 +0000 2017,@AmazonHelp I'm a prime customer and when I place preorder items they tend to be dispatched for delivery so that I receive it on release day not the day after. That's what preordering is all about if I wanted to wait an extra day I would've simply ordered it elsewhere.,,2831593,2831595,788400,Mon Nov 27 13:27:06 +0000 2017,CONV_2831595,2
