tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,root_tweet_id,root_author_id,root_created_at,conversation_group_id
1067678,155412,True,Mon Oct 23 15:18:15 +0000 2017,"@AmazonHelp My account's been hacked, my email changed and its been almost 24 hours since I contacted Amazon -- w no reply.  #HelloAmazon???",1067676,,1067678,155412,Mon Oct 23 15:18:15 +0000 2017,CONV_1067678
1067676,AmazonHelp,False,Mon Oct 23 15:21:34 +0000 2017,@155412 It may take up to 48 hours for our Account Specialist team to investigate &amp; respond. Be sure to check spam/folders as well. ^ZW,1067677,1067678,1067678,155412,Mon Oct 23 15:18:15 +0000 2017,CONV_1067678
1067677,155412,True,Mon Oct 23 15:41:32 +0000 2017,@AmazonHelp 48 hours when someone's been hacked and access to personal information is at high risk? Surely you jest.,,1067676,1067678,155412,Mon Oct 23 15:18:15 +0000 2017,CONV_1067678
1105026,380759,True,Sun Oct 15 08:23:14 +0000 2017,"@AmazonHelp Hi, my parcel is not showing as dispatched yet although it’s due to be delivered tomorrow. Please can you advise?",1105024,,1105026,380759,Sun Oct 15 08:23:14 +0000 2017,CONV_1105026
1105024,AmazonHelp,False,Sun Oct 15 08:37:49 +0000 2017,@380759 There is still time for the order to deliver on time.6CD,1105025,1105026,1105026,380759,Sun Oct 15 08:23:14 +0000 2017,CONV_1105026
1105025,380759,True,Sun Oct 15 08:53:53 +0000 2017,@AmazonHelp You haven’t even taken my tracking number. I have ordered 2 items. 1 item shows as dispatched whilst the other doesn’t which raises concern.,,1105024,1105026,380759,Sun Oct 15 08:23:14 +0000 2017,CONV_1105026
1127306,385783,True,Tue Oct 24 10:24:20 +0000 2017,Amazon I would like to get two large tots for my Christmas 🎄 ornaments! Wink wink! @AmazonHelp,1127304,,1127306,385783,Tue Oct 24 10:24:20 +0000 2017,CONV_1127306
1127304,AmazonHelp,False,Tue Oct 24 10:32:29 +0000 2017,"@385783 Hey, we love that you're planning your 🎄 decorations already! 😁 ^TS",1127305,1127306,1127306,385783,Tue Oct 24 10:24:20 +0000 2017,CONV_1127306
1127305,385783,True,Tue Oct 24 10:34:30 +0000 2017,@AmazonHelp You’re the best! Love you guys and gals!,,1127304,1127306,385783,Tue Oct 24 10:24:20 +0000 2017,CONV_1127306
121033,142937,True,Thu Nov 23 23:35:41 +0000 2017,Explain it @115830 or just make an Irish website already and save all of us the frustration https://t.co/yUCRuno9mz,121031,,121033,142937,Thu Nov 23 23:35:41 +0000 2017,CONV_121033
121031,AmazonHelp,False,Thu Nov 23 23:43:00 +0000 2017,"@142937 Thank you for reaching out to us! Please check here for shipping rates and information for UK as well Ireland: 
https://t.co/QV068PpiHU hope this helps, please let us know. ^MO",121032,121033,121033,142937,Thu Nov 23 23:35:41 +0000 2017,CONV_121033
121032,142937,True,Thu Nov 23 23:56:29 +0000 2017,"@AmazonHelp It really doesn't. Most the stuff on https://t.co/f1thJMEMd9 either don't ship to Ireland, or the shipping costs are ridiculous.",,121031,121033,142937,Thu Nov 23 23:35:41 +0000 2017,CONV_121033
1232888,409158,True,Wed Oct 25 17:28:30 +0000 2017,@115821 Audiobook for Cibola Burn was reissued. Kindle Fire can't Whispersync it b/c it looks for the wrong version. Alexa's confused too.,1232886,,1232888,409158,Wed Oct 25 17:28:30 +0000 2017,CONV_1232888
1232886,AmazonHelp,False,Wed Oct 25 17:34:45 +0000 2017,@409158 Give us a call and we'll get a tech involved to help figure this out.  https://t.co/hApLpMlfHN ^EM,1232887,1232888,1232888,409158,Wed Oct 25 17:28:30 +0000 2017,CONV_1232888
1232887,409158,True,Wed Oct 25 18:08:36 +0000 2017,"@AmazonHelp I have the current audiobook with Jefferson Mays.
The ebook doesn't sync b/c it looks for the old not-for-sale version with Erik Davies. https://t.co/DLt89mWW1l",,1232886,1232888,409158,Wed Oct 25 17:28:30 +0000 2017,CONV_1232888
